place_id,neighborhood,fire_incidents
ChIJDS_4ZA_0NIgRm4werE0wkBo,California-Kirkbride,22
ChIJbXv84wX0NIgRocFxXgoWztk,Central Northside,38
ChIJaZkHl_f1NIgRDo8-Ih0S-68,Central Northside,25
ChIJV-WNXQT0NIgRIlshvd0VSxE,Allegheny-West,34
ChIJjwuJs67zNIgRf-pZyHcOnq0,Central Northside,60
ChIJ-2C3sPfzNIgRpVpqW11Hncs,East Allegheny,74
ChIJR4nVEVbxNIgRbbtd9j788xU,Downtown,76
ChIJ35Bl9PjzNIgRTIhia8PVFEY,Allegheny Center,35
ChIJGRG_kPrzNIgRJRT0EjM9vSI,East Allegheny,56
ChIJp2EIZfDzNIgRq-iQ1IuOs3Y,East Allegheny,49
ChIJZapX9vjzNIgRSu7rbfVfChA,Allegheny Center,43
ChIJ09EneFjxNIgRypwsHoGxIE8,Downtown,41
ChIJTySFk8PzNIgR9oYnssqat_A,Central Northside,78
ChIJl6nD-7HzNIgRcECP9TxqAgI,Allegheny Center,43
ChIJL9Eeh873NIgR2hDDPRrp9eQ,West End,8
ChIJT3VNbcL2NIgRJhpHdjLRND0,Banksville,2
ChIJa_26Rt32NIgR_dkqGwuJicE,Banksville,4
ChIJC2lwoS73NIgRD03ZeaPgShI,Duquesne Heights,9
ChIJi3B3Jdn2NIgRIBfXm2xDBdU,Beechview,27
ChIJwW2TOhvxNIgRjQgQNnvtL1g,Mount Washington,33
ChIJuWIkXnf3NIgRTkga-T2a3OU,Beechview,32
ChIJsZMZQkvxNIgRTT3U6FiRBx4,Mount Washington,40
ChIJNeGZU0rxNIgRF4szdKzPtMI,Mount Washington,32
ChIJs2Jlv1bxNIgR1BjwPx-efhY,Downtown,94
ChIJocY703XxNIgRA9d4UXqFr3Y,South Side Flats,13
ChIJEX3InVbxNIgR7Ks0egVltU0,Downtown,83
ChIJx5zxCnHxNIgRPH6fkywaXag,South Side Flats,50
ChIJp-Y2qlr3NIgRnaDZ8mfO25w,Beechview,9
ChIJVVUibMvzNIgRVZ1yKw3j6MI,Polish Hill,20
ChIJe3ympVbxNIgRq2bl_i37GQA,Downtown,86
ChIJw15qL3TxNIgR1-JYqkctWxo,South Side Flats,13
ChIJ9buawkvyNIgRtuSs0OqiK6I,Lower Lawrenceville,31
ChIJJdPcGIrzNIgR4he_3_nQQxM,Strip District,9
ChIJT1r2IFj3NIgRrJ8iwasf9HE,Beechview,9
ChIJ9xkce932NIgRSiyVq84hrKY,Banksville,9
ChIJP26l3tzzNIgRyle3s1NMfac,Beechview,13
ChIJUTCorzr3NIgRufBFZYqcUZU,Beechview,27
ChIJV5T8ZFj3NIgRwPq8B4iUjYQ,Banksville,2
ChIJ4122GCj3NIgR4EygOp9VQyw,Brookline,5
ChIJ9R6o7hz3NIgRoXHX6b9F_yI,Banksville,10
ChIJscaPKe_xNIgR2QpQkr3O8h8,South Shore,14
ChIJt1-O1Tr3NIgRuWJRAaD-mmc,Brookline,22
ChIJXTWUdlX3NIgRLsxLV-6novE,Beechview,10
ChIJv-X66E3xNIgR4rFcM-iZBxQ,South Shore,15
ChIJsb73t8v3NIgRXRpXRGzmj0U,Banksville,9
ChIJq8aTMiD3NIgRhl34BM3M62I,Beechview,16
ChIJnxGpywT3NIgR8_qyfVf3EM4,Banksville,7
ChIJsf3U_i7xNIgRxQxY564cOZI,Downtown,51
ChIJRVKiym7xNIgRPlAkUzhu6q4,South Side Flats,49
ChIJfQnDg-LzNIgRW_Yv4dBCzIc,Central Oakland,52
ChIJeSJPCur3NIgRG2JwDtlfD3s,Beechview,10
ChIJAUeyl8f3NIgRTwaDXz1HcGs,Brookline,23
ChIJPVFI4jD3NIgR5Jo9EvY00m8,Brookline,26
ChIJ1Vd4DgX3NIgRFCXOWfWXvOw,Banksville,5
ChIJ7UXxRAP0NIgRnHHdP7MB1zY,Chateau,43
ChIJ59EdawP0NIgRRbOjAheTl7U,Chateau,32
ChIJ0wO9t0b0NIgR1aZ3xP_Knco,Marshall-Shadeland,16
ChIJb6K0JAT0NIgRDyAPYKZrgVw,Allegheny-West,41
ChIJk17kWQL0NIgRMkFV0rbi3l0,North Shore,28
ChIJM_ImXwP0NIgRgEEMEoJeE9c,Chateau,41
ChIJBRq4_cX1NIgR_V4__5IL_-Q,Allegheny-West,34
ChIJ2_KpOwL0NIgRlwzYNY03vzI,North Shore,18
ChIJezxPEXzzNIgRRVigvGgRNHQ,North Shore,15
ChIJI2q7FAL0NIgRUoBKaGaPw3A,North Shore,19
ChIJg888LAD0NIgRv6CEQUat1uc,North Shore,5
ChIJkzZRclbxNIgRVOheuNrywO8,Downtown,90
ChIJHaLGRefzNIgRf_UaVEuRZtE,Downtown,94
ChIJK5NZfKLzNIgR6G1JvYJpRLw,Central Northside,63
ChIJU-E_KhvzNIgRfi53Eoj79i8,East Allegheny,52
ChIJ4ws4DVbxNIgRfdiGwIuzWB4,Downtown,86
ChIJ90_BBVbxNIgRMNH1vKBRHmc,Downtown,89
ChIJeXU5zVnxNIgR3UQGKB03IE8,Downtown,58
ChIJ4SPCK1HxNIgR1cH9Pmy4gFI,Downtown,84
ChIJReLa5-_zNIgRj2_pLh7ZKpQ,East Allegheny,42
ChIJsy6SvvfzNIgRTl_IG4-Rel8,Central Northside,68
ChIJxw4q8gP0NIgRe9Z24doswug,Allegheny-West,34
ChIJt1OJZVbxNIgRby17EsOaQl8,Downtown,98
ChIJ9y_Onk3yNIgRg1Zzijr0ge4,Central Lawrenceville,31
ChIJQaqAlUzxNIgRhBrec58hGCM,Mount Washington,36
ChIJYT9vcx30NIgRcIAOt5Q9ngM,Chateau,16
ChIJYwQ1VljxNIgRQTy1kUgaT0E,Downtown,39
ChIJN04B10nxNIgRJp6B4Afp9iI,West Oakland,63
ChIJ2YbrXVjxNIgRhCOLgZcNS4k,Downtown,39
ChIJS5rmxDr3NIgRUf_lWo0F_AU,Brookline,21
ChIJv_rbhDr3NIgRUBkvX7v9iiY,Brookline,33
ChIJr4Wg9TD3NIgR8jYspDUxnz8,Brookline,25
ChIJn-G15zD3NIgRr6pChHoTvvg,Brookline,27
ChIJQ9yvbpX3NIgRc042Rjs7NTk,Brookline,31
ChIJA05yFiD3NIgRgQjy44EeirI,Brookline,16
ChIJuXiLVh_3NIgR1gEbGJ7L4Ps,Beechview,14
ChIJzSivPST3NIgRi2_ge7NCRnM,Beechview,15
ChIJM0mc_tX3NIgRt5RrS_GeFIY,Brookline,25
ChIJXYG7tf73NIgRy-hEEhs2izg,Brookline,23
ChIJofC1eTD3NIgRdfPYN3H9CxI,Brookline,31
ChIJD-2ViDD3NIgRYov1UwTv3rg,Brookline,27
ChIJ3ejbFb_zNIgRbaGSDkFD6Jw,Troy Hill,22
ChIJQXXnMXXzNIgRfNk6_IE9l7g,Troy Hill,21
ChIJ81YsC1LyNIgRRnRiwcOybnk,Central Lawrenceville,32
ChIJm-4CqZzzNIgR7EX7MH7PMTg,Lower Lawrenceville,15
ChIJ41sM7mjzNIgRgxftFyYQwM0,Garfield,38
ChIJnUb3DUzzNIgRZorWWibf-lI,Strip District,6
ChIJw5DqBxHyNIgRFODaRgikWLg,Shadyside,30
ChIJ-6roCurzNIgRjTcSLTAsu9Y,Troy Hill,16
ChIJx_dVIsHzNIgRVOx-Y_MMsvQ,East Allegheny,64
ChIJyYvQIvzzNIgRxWHi73BFA8U,Central Northside,68
ChIJWc78NOLzNIgRcQKCaa4pSCU,Strip District,17
ChIJpc-qDFjxNIgRSxroybLDy4s,Downtown,44
ChIJZddMBN3zNIgRJiPR3CQJf-w,Strip District,15
ChIJ1QoHqfrzNIgRXO5PEaJO_vs,East Allegheny,57
ChIJQcMWoeLzNIgRHz4LnivIm98,Downtown,39
ChIJA8jyCVjxNIgRaTBDzIS-Fvg,Downtown,39
ChIJrwpSeeLzNIgRbnjwmHTf43k,Downtown,19
ChIJaxLB3NzzNIgRc7BqXp2MCR4,Strip District,15
ChIJMUZha1nzNIgRuii2YvwHVEE,Strip District,16
ChIJddZ3-lTxNIgRh9LKI1XZ1kY,Downtown,31
ChIJa7HnU_7zNIgRWgV7Uen_R4M,North Shore,22
ChIJvfMuIwD0NIgR_OKU1NP3Exw,North Shore,14
ChIJw7NZi__zNIgRwcp5kxJAErk,North Shore,13
ChIJRQEFlf7zNIgRZxLBLf1DxmA,North Shore,18
ChIJWWjFalTxNIgRZEwdzBj_toI,Downtown,53
ChIJc7hNuRj1NIgRDSy7LYfY3bI,North Shore,11
ChIJrd_MPQD0NIgRaQcAurQ7VPk,North Shore,10
ChIJp1tqyuvxNIgROzXlw3OKjeA,Downtown,93
ChIJSe13JrnxNIgRyRAtLq7DTp0,Downtown,33
ChIJa_ZAqf_zNIgRKc3voIHKeuM,North Shore,14
ChIJ__6MLQD0NIgR7tpx9fGzBjQ,North Shore,10
ChIJDQkHmlPxNIgR-RYTgv_3ExM,Downtown,25
ChIJLRZdz1bxNIgRliKBNNMrj_E,Downtown,96
ChIJJZ51f1bxNIgRI-T-G9szLw8,Downtown,91
ChIJMZ8fmvfzNIgRqO6p4m40WIw,Central Northside,59
ChIJYWwmlFbxNIgRyjrXVFPWaOU,Downtown,89
ChIJUQ8c81bxNIgRnioofxjN84M,Downtown,95
ChIJD_J0PCrxNIgROmvTjJtU6kE,Downtown,80
ChIJ8-GimDjxNIgRlApecn2qzWA,Downtown,14
ChIJLbPZlVbxNIgRUiWtcqhZS7k,Downtown,80
ChIJG461q1fxNIgRnD8-ZYNshCY,Downtown,97
ChIJfUvFfeLzNIgRJJG8TAOKGd8,Downtown,18
ChIJQ2ym507xNIgR7Un3eltN1Yk,South Oakland,5
ChIJnU-ekU3xNIgR8qOJqcNzFuw,South Shore,13
ChIJ62Pn2n33NIgRrYZKBe7etvk,Mount Washington,27
ChIJjcVAx03xNIgRSaYa9eOR2w4,South Shore,17
ChIJ3VDw7E7xNIgRUv1mm2F058s,South Shore,13
ChIJ28OHmk3xNIgRqZ-UsFZhcyY,South Shore,12
ChIJ2UjFe03xNIgRXZtF7LtXxG4,South Shore,18
ChIJPxm6vcfxNIgRojt2mErBxbY,South Shore,13
ChIJncbtvEzxNIgRtSOWudAmLC4,Mount Washington,36
ChIJ97bZIDvxNIgRldtplCLSAPI,Mount Washington,35
ChIJK0Gg3U3xNIgR91MmvokkqIE,South Shore,9
ChIJm2qSLZTxNIgR5kVTyhhdUug,Downtown,56
