place_id,neighborhood,fire_incidents
ChIJp6IO5NzzNIgRrBFr-HBNTP0,Strip District,11
ChIJj_TW6dzzNIgR-ibsuSNRjGE,Strip District,10
ChIJ7xNwnN3zNIgRKFNb1CKtMbU,Strip District,19
ChIJ4UfTPd3zNIgR34mdMng6L5A,Strip District,9
ChIJX86zgOLzNIgRLAZcZrqlxGM,Downtown,20
ChIJkeH5HDDxNIgRIVYWkBVWnIA,Uptown,43
ChIJq3phq17xNIgRucm5U8KKeBw,Downtown,27
ChIJHxjv8F7xNIgRhDVc5_DVaDQ,Downtown,27
ChIJXZF5KTDyNIgR5hj8iNmdfOA,Downtown,29
ChIJd14Rc17xNIgRMq985izx13w,Uptown,29
ChIJQVSrW-zxNIgRcGkeWKriZio,Downtown,50
ChIJ3wKdPGnxNIgRiJtL1pd8CF8,South Side Flats,46
ChIJLQtjK7PxNIgR5YlDhRrYYo8,Uptown,30
ChIJg1Gg6P_xNIgRRNlkdMt6ZPY,Uptown,29
ChIJTZLQxGDxNIgRHeH4OnpKHTQ,Crawford-Roberts,36
ChIJ6TMXpl7xNIgR4-vh9b4eCeg,Uptown,32
ChIJF7esbWnxNIgR1m6Ch1_sDic,South Side Flats,47
ChIJUfzmm2nxNIgRmaf5sdOhKns,South Side Flats,52
ChIJb124KRvxNIgRtPTtULeDL9Y,South Side Flats,48
ChIJX0eblW7xNIgR_VvkZXA_YRQ,South Side Flats,59
ChIJHVYbynbxNIgRuQy3ve8SLac,South Side Flats,31
ChIJVV_6nJ_xNIgRSoAWAJqhnJI,South Side Flats,48
ChIJKbZvAhzxNIgRTYPC3TADwBE,South Side Flats,43
ChIJGd8THP3xNIgRjVDaUr8_mzs,South Side Flats,40
ChIJ-Qv-FjPxNIgRtnYGlH8BN7o,South Side Flats,46
ChIJ0f005GnxNIgR97iNHfJPwho,South Side Flats,39
ChIJv--DbWnxNIgRR7NSNMmRJOA,South Side Flats,49
ChIJKXoXk2nxNIgRGa8v_798ORA,South Side Flats,44
ChIJZfTzP2nxNIgRuAaYOtWmtWc,South Side Flats,47
ChIJD2K7dGnxNIgRzr9L22s5MRg,South Side Flats,48
ChIJdZjQx27xNIgROx5Oy5ORrK0,South Side Flats,47
ChIJRZ2ndmnxNIgR8ubLmtt-fhs,South Side Flats,48
ChIJ1YxkmmnxNIgRbGCperwJue4,South Side Flats,46
ChIJqd6KkGnxNIgRRAxQ-Cq5Has,South Side Flats,44
ChIJw0UXPDvxNIgRKbRr3ODSkC4,South Side Flats,56
ChIJizwqlW7xNIgRYil6lwmWaow,South Side Flats,59
ChIJZzOOvrDxNIgRg3CDDJJaEco,South Side Flats,62
ChIJZd0nQGnxNIgRVWIUfq3N0l0,South Side Flats,49
ChIJWajYRm7xNIgRYWzHvQBIa_k,South Side Flats,56
ChIJ7ZiQ9W7xNIgRt5WKRIutn08,South Side Flats,71
ChIJW8GZyW7xNIgRbBA2PEWplXk,South Side Flats,50
ChIJB6QELSHxNIgRFWoBt8KHtiI,Carrick,19
ChIJD5Ibv3bxNIgRgC3PVYseHn8,South Side Flats,35
ChIJXfIN9m7xNIgRyqsVaf_yOWQ,South Side Flats,65
ChIJyxPbaCPpNIgR6KLDgF5MuNk,South Side Flats,18
ChIJFUVyIG7xNIgR5d5VLBb0k4s,South Side Flats,66
ChIJczlgxCDxNIgRGWhgh5XDnAE,Carrick,23
ChIJGWNH4HHxNIgRYt3EYmLzA-c,South Side Flats,64
ChIJ4aw8mCPxNIgRc6Gb9jfvg_4,Knoxville,29
ChIJ3ZWSAabxNIgRDS03BIHhFAk,Arlington,34
ChIJs9-69dzwNIgRmMDd8euPa28,Carrick,22
ChIJ2U_hO-3wNIgRkJ7de0Oawu4,Carrick,14
ChIJUQEBv6fxNIgRkXZoyTMAHME,Carrick,42
ChIJjzk48mDzNIgRrWSmLUdNN3M,Lower Lawrenceville,12
ChIJp_wPvlXzNIgR1ua9flvQiQ8,Lower Lawrenceville,12
ChIJNdRSlcjzNIgRKztXRZ8R3os,Strip District,17
ChIJoztp4qvzNIgR1Yvp3Oo6gUk,Lower Lawrenceville,11
ChIJGyHKJrP3NIgRsdwacPEvZDg,Lower Lawrenceville,11
ChIJ0TkalrTzNIgR3WQ1VOvp8Jg,Lower Lawrenceville,10
ChIJu8lO6bTzNIgRTk57p9qMxLQ,Lower Lawrenceville,11
ChIJC93yEiXuNIgRUWEZNBBXrYM,Central Lawrenceville,32
ChIJv6siiU3yNIgRY1K4PUwSTvY,Central Lawrenceville,32
ChIJKT2mUrXzNIgRP_zITVG6-1s,Lower Lawrenceville,12
ChIJYWX4vDrzNIgRZHYf7f0e8w0,Bloomfield,33
ChIJ2x9UxjDyNIgRAlU-QHejcTs,North Oakland,17
ChIJ_85cpLTzNIgRQYRrGbqmWlI,Lower Lawrenceville,11
ChIJreSQbVjzNIgRfhAd0MtwMPo,Lower Lawrenceville,13
ChIJb026fVHyNIgRp717s78G9n0,Central Lawrenceville,18
ChIJb1Oiq7_zNIgRIftDhyB5qEc,Shadyside,22
ChIJp-5aZRLyNIgRkGsFTHQ2OGQ,Shadyside,22
ChIJG3EpCfjyNIgRbG7YUK8ClBY,Lawrenceville,22
ChIJDf-mDDbzNIgRYxlIXsGv76c,Garfield,42
ChIJ0acBsvmrx4kRaV6f_qdOUVs,Lawrenceville,24
ChIJqb4XHt3zNIgRRGgpc6DL0Lo,Strip District,13
ChIJUczDttzzNIgRIVsSTlzSbOQ,Strip District,13
ChIJ_VG7C93zNIgR7MsvZAToDto,Strip District,15
ChIJNepsId3zNIgRQqFF2SGWTQI,Strip District,12
ChIJZ5ZEkM7zNIgRbD1UL6cJ2m0,Strip District,11
ChIJVfY3m93zNIgRlQH21q_BzX4,Strip District,20
ChIJC5mCXMPzNIgRiI9oZz5oGPc,Strip District,11
ChIJP1gKhd3zNIgRnPIt3JMP6Q4,Strip District,18
ChIJ05Zle6vzNIgR5d6-XIDBWbE,Strip District,16
ChIJu7QfWMPzNIgRRaou7cEJEUk,Strip District,11
ChIJWWTKt9zzNIgRrgG3CUToFPg,Strip District,13
ChIJnUZLROfzNIgRQV-liGcW3U4,Strip District,20
ChIJBfSEzHLzNIgRJoAqEQ80YyI,Strip District,20
ChIJOzazI1zxNIgRiZ9pk0xBUKk,Uptown,30
ChIJ9zVB7l7xNIgRyZZ_5mAAbjU,Downtown,27
ChIJtb0u8NbzNIgReePPnLFXb6s,Terrace Village,27
ChIJt95YkHPxNIgRxayX-1nNn5I,Crawford-Roberts,45
ChIJdcG-um_xNIgRfiBDvgcv6Og,South Side Flats,22
ChIJ10MJKg33NIgRr3hoZDWnQMI,Uptown,35
ChIJ9-mKyGDxNIgRGih_46RNh0c,Uptown,38
ChIJAS82ZknzNIgRwpAOZRJjAzk,Strip District,20
ChIJP4v3IdHzNIgRtd_UuEQTSjo,Middle Hill,33
ChIJcRE8sXbxNIgRCl1ddzPyiMA,South Side Flats,32
ChIJGdtGwnHxNIgRvQ0uCvJ1mdg,South Side Flats,44
ChIJ7ZptpnbxNIgRcyXrZDisGg4,South Side Flats,35
ChIJywg6QG7xNIgRIBl4ypC_GHA,South Side Flats,54
ChIJfUaaHmXxNIgREzmT38FjoRM,South Side Flats,32
ChIJi-9pQW7xNIgRChu2hMipzaA,South Side Flats,54
ChIJac7x_uvxNIgRowRCaqp-Los,South Side Flats,60
ChIJveO2t3bxNIgRR0FnNBRehMo,South Side Flats,31
ChIJv90jIHTxNIgRSnlTE4DPXT8,South Side Flats,31
ChIJz1REkm7xNIgRaCxSYHQ0JeQ,South Side Flats,57
ChIJw8e2im7xNIgRIOv06P2gPEw,South Side Flats,53
ChIJVV4HnqLxNIgRxbPYfPin_Wo,Central Lawrenceville,28
ChIJ9b8gGVLyNIgRZyoRQ5by93c,Central Lawrenceville,26
ChIJE8F5jc3zNIgRv9cjRb4OUzA,Central Lawrenceville,29
ChIJVbQic9zzNIgRmEsQQXRvNm0,Central Lawrenceville,31
ChIJqxndwrHzNIgRUt455T2q_bE,Central Lawrenceville,26
ChIJhbb-m03yNIgRUsWJ-htXSRY,Central Lawrenceville,31
ChIJi32qHBHyNIgRxPtrUFhiLBc,Lower Lawrenceville,14
ChIJv3LUorTzNIgRvwY5DAgTA1s,Lower Lawrenceville,10
ChIJ9w2zjBDzNIgRW-TDzTHGVVg,Central Lawrenceville,23
ChIJ_QYsGFLyNIgRZy6AxOT0gq8,Central Lawrenceville,26
ChIJb51c3NPzNIgRyc9mwNxQT8s,Central Lawrenceville,26
ChIJfdbjNknyNIgRfLIY5-dxlQQ,Bloomfield,28
ChIJ66LSFVLyNIgRtZXizJSCCGk,Central Lawrenceville,30
ChIJzV7wK0nyNIgRgtFZ1GerHV0,Bloomfield,31
ChIJTdlGrlzzNIgRIQf1pxrBMXc,Central Lawrenceville,26
ChIJoacKHk3yNIgRuTyIvX6tIHY,Central Lawrenceville,24
ChIJrzelqffzNIgRnDkl4GRkyd8,Central Lawrenceville,26
ChIJV4HpDlLyNIgRnw3FBi-owp4,Central Lawrenceville,28
ChIJ4at4NE_yNIgRDPjJG9F_BQQ,Bloomfield,31
ChIJacdcMk_yNIgRdHtaOoDoiSk,Central Lawrenceville,31
ChIJl93RPCLzNIgRTN1yoqz3FJc,Central Lawrenceville,34
ChIJbyBaslfyNIgRHs3um_NSygY,Lawrenceville,24
ChIJ9RuVqkfyNIgRkMqRFmij0AE,Bloomfield,36
ChIJByWbqoDzNIgRIYQGeZ3DGHU,Lawrenceville,24
ChIJ157INUbyNIgRIdYcEKwlsxk,Bloomfield,37
ChIJk8LxzX_zNIgROyn2KZl4J24,Lawrenceville,25
ChIJXxJOonLzNIgRLoWk4qqp7D8,Central Lawrenceville,28
ChIJtwdryN_zNIgR9QxZXCx3HHw,Central Lawrenceville,31
ChIJ6RYU1U7yNIgRW5lPuLNmkNQ,Central Lawrenceville,32
ChIJB0uhKaHzNIgRFQoE7SpNQZA,Lower Lawrenceville,11
ChIJfSLmpRfzNIgRuTB2LzQlRs0,Central Lawrenceville,33
ChIJLwtmuhHyNIgReiO08BCqkNI,Shadyside,30
ChIJBYF_qoDxNIgRoaFKe3aGAUU,West Oakland,61
ChIJfRdWuTDzNIgRW8di8Tv5olc,Shadyside,26
ChIJOTAqXE_yNIgRyx9s6-XdtQM,Central Lawrenceville,23
ChIJ8_YI2yrzNIgRcfvIx_LhAQQ,Morningside,12
ChIJ6xQhKULyNIgRH96iN5Qnnxw,Bloomfield,43
ChIJPSw-jertNIgRgG-xMXHio4w,Homewood South,34
ChIJp6r2KhLzNIgR39o6aPGr5ec,North Oakland,32
ChIJiwd0_inyNIgRNEnkdvQOwvw,West Oakland,60
ChIJw-xxVofxNIgRPoR9kR0qQaU,Central Oakland,66
ChIJP6hIlSnyNIgRRIKYd7itnC0,West Oakland,49
ChIJA16Qmy3zNIgR0tie1DsJWr8,West Oakland,55
ChIJuY1kwinyNIgRXavpCzppwNk,Central Oakland,52
ChIJ3Ta93CnyNIgR76BIIq9wi00,Central Oakland,52
ChIJNVEpiefzNIgRTduxmt_kOCo,Central Oakland,52
ChIJi06JU9PzNIgRWcHN_LT8uAE,West Oakland,50
ChIJAcDfbGvzNIgRyx-DeVLDdY8,Central Oakland,68
ChIJ-1R-5SnyNIgRKb70_DsecYU,West Oakland,54
ChIJ-0vjBabzNIgRzOvXp_ZUqoU,North Oakland,46
ChIJHf2pVZTxNIgR4QKTat1XtxI,West Oakland,61
ChIJCwnMDlPzNIgRRHEeV5sDmA4,West Oakland,64
ChIJn-bH7inyNIgRFEdw1AiECjY,West Oakland,53
ChIJmyZSvCnyNIgRudsdwbZLMDw,North Oakland,38
ChIJb4-q6inyNIgR-w9Vd5a_dpg,West Oakland,49
ChIJdU1TE_LzNIgRcLiw01-pwh8,West Oakland,51
ChIJqSCdRijzNIgRVC0pUVzkL3Q,North Oakland,34
ChIJtQ_i3inyNIgRFnjm8Qyamig,Central Oakland,58
ChIJnYeF6ynyNIgRpvE8GG_enX0,West Oakland,51
ChIJMRkulSnyNIgRFX20W4CdRes,West Oakland,49
ChIJLQyxHSryNIgRvsaMdRFuWsc,West Oakland,50
ChIJJ60ZlSnyNIgRFu7xM8GVStE,West Oakland,49
ChIJb76tAYjzNIgRYeg8b2Ci_oY,West Oakland,63
ChIJoaSk8TnzNIgRq6xVnf01Ko4,West Oakland,52
ChIJQ3eP_inyNIgRyd2ktjamxqM,West Oakland,68
ChIJDxOukArxNIgR5NksBn-2nC4,West Oakland,62
ChIJGQpeNXPzNIgRxDow-rr88Kg,West Oakland,55
ChIJSxQZLJ7zNIgRt0maU__sOYY,West Oakland,62
ChIJ__8_x4DxNIgR5k99DeUY1-w,Central Oakland,53
ChIJLSVQY4fxNIgRMAPUHHWIggE,Central Oakland,56
ChIJjXscMC_yNIgRXcUITF3MvRs,North Oakland,8
ChIJwa8K8MbzNIgRdkBi8pwcpGo,West Oakland,31
ChIJB8suhyjyNIgROsd4vPcFiDU,Oakland,15
ChIJM5JDtenzNIgRsIpiW9_DigU,Strip District,5
ChIJH8xSoIfxNIgRtnPuXCx47ng,Central Oakland,42
ChIJ__8yAyryNIgR_X6MMQ2OPrk,West Oakland,55
ChIJzwS4zTryNIgRGmSRESQtGHo,North Oakland,35
ChIJy9Po4h7yNIgR_nLyDFmCL6g,North Oakland,11
ChIJq7q0zTTyNIgRShTahHUtqyw,Polish Hill,16
ChIJaev7FCnyNIgR7BJTDJPlFOM,North Oakland,23
ChIJyRkoBEHzNIgRtZV4aLqB6xg,West Oakland,62
ChIJjfwiuinyNIgRey6wSiNVUAg,North Oakland,41
ChIJ4xNi4ynyNIgRU6IpTDdsfrM,Central Oakland,58
ChIJYWiRwSnyNIgRRiyWeUcn9FM,Central Oakland,45
ChIJSTQfZCryNIgRJEejULSwP5Y,West Oakland,36
ChIJizXqDxTzNIgRKmZwV7ss8C4,North Oakland,17
ChIJz3BPwSnyNIgRhdkfXHh9mgQ,Central Oakland,46
ChIJow9HHSnyNIgRoRs_E9gDDeQ,North Oakland,23
ChIJKwX1vgLxNIgRgCuBdQYLd24,Central Oakland,56
ChIJC8I6mezzNIgRQ0_54AxTzTE,Squirrel Hill North,19
ChIJNRjc6X_xNIgRhXvV7E7TE-U,West Oakland,38
ChIJTY6wvZTzNIgRSrzuVfOPKcs,North Oakland,38
ChIJRxOXPyTyNIgRjMgvDNxh39A,North Oakland,58
ChIJlfRanibyNIgRcoAza6F4sdI,North Oakland,54
ChIJa9dttZzxNIgRoJ_fjgPe6-s,South Oakland,12
ChIJE8r9NXbxNIgR2_MNy57jGM4,South Side Flats,15
ChIJxelDPHTxNIgRZ7036R6TvgA,South Side Flats,14
ChIJU9n6WoDxNIgRBw0y9nj-lbI,West Oakland,50
ChIJ__9zECL0NIgRqH1N19NUVAk,South Side Flats,18
ChIJw7kWe4fxNIgRNi3MzDaZuAI,Central Oakland,58
ChIJzZey4HHxNIgRf8mSxBOeOng,South Side Flats,65
ChIJKaoVAvvxNIgRxXDV1rIC610,West Oakland,49
ChIJy7yEyYfxNIgRTRR-MtN9sT0,Central Oakland,30
ChIJT42nXW7xNIgRc_TKySMF3x8,South Side Flats,60
ChIJk8C3QG7xNIgRPD3JpUj0Qpw,South Side Flats,52
ChIJP7eXjKXxNIgR2mpwikchvlk,Arlington,5
ChIJbZevISTyNIgRmAk5MgJN5NY,North Oakland,54
ChIJL3ujxP3zNIgR9aqygXcUHAY,Central Lawrenceville,34
ChIJjxs73dfzNIgRJKu3w6JJw-M,Lawrenceville,14
ChIJYYWWt3HzNIgRdbh0dC_GfCA,Lawrenceville,19
ChIJ2yPqm_fyNIgRrX4_XAqLAjw,Lawrenceville,18
ChIJAeVyyVfyNIgRJl5qfH2SbDs,Lawrenceville,23
ChIJZ43akkLzNIgR8d78OnpSbUU,Central Lawrenceville,33
ChIJW0b6r27yNIgRV0KQXfeQCMA,Bloomfield,37
ChIJz3cUGkLyNIgRWLMkcBK2edg,Garfield,44
ChIJRfmwWXvzNIgRLV4SEczR2PU,Central Lawrenceville,26
ChIJqbAgM-LzNIgR9JdYfVlf4w8,Bloomfield,35
ChIJOw-0W3PyNIgREBWiJADqrgk,Shadyside,37
ChIJkYOyh4DtNIgRp0mPbsULPU0,Highland Park,10
ChIJuYpNim7yNIgRgOOuYecW9ag,Garfield,42
ChIJrcryYsvzNIgRekOzasoDnuc,Friendship,23
ChIJexev_mXzNIgRjT3AugIbp88,East Liberty,44
ChIJmyJTe2_zNIgRKBsnWlOKuw4,Garfield,45
ChIJc2i5EkfuNIgRzpOA4y_aYxQ,Larimer,19
ChIJ4-N0iWbzNIgRo3uX-BqAKmc,East Liberty,39
ChIJaZJLQEfyNIgRjqYnaTYeoN0,Bloomfield,32
ChIJAeBK2HzzNIgRM7u_R11SedE,Bloomfield,35
ChIJbz5zt63zNIgRUEkiTNwcn6A,Bloomfield,34
ChIJzSCE0kPyNIgRBzJJwOyniQE,Garfield,42
ChIJSegbAUfyNIgRxWUkXGV0_sM,Bloomfield,37
ChIJU1c6EUfyNIgRg8gKJwQNl4c,Bloomfield,34
ChIJA0IuNUbyNIgRuikoLdVougk,Bloomfield,36
ChIJSbERT0fyNIgRGxDyCmC7sAY,Bloomfield,31
ChIJn862SEfyNIgRVibDFUOQzsI,Bloomfield,31
ChIJm_WKOEfyNIgRQ-5OJMzSLRY,Bloomfield,38
ChIJz3fkUU_yNIgRz8ny6o9Dcos,Bloomfield,25
ChIJLfzKFEfyNIgR6L1Z3Rj0Q2c,Bloomfield,32
ChIJ9Q1kJUTyNIgRuvW9f60WFmI,Bloomfield,24
ChIJifg4qkfyNIgR78eJjin8_cI,Bloomfield,36
ChIJmTdGy0fyNIgRnBcu5zadtoQ,Bloomfield,36
ChIJ3fG3zUPyNIgRU9Xm67yqrSY,Garfield,41
ChIJF27Hp0fyNIgRnZHhBa75CIw,Bloomfield,37
ChIJQft3kaTzNIgRetJTJOLl88g,Bloomfield,32
ChIJqXdRmU3yNIgRTtYlLipakCI,Bloomfield,40
ChIJv80hSkfyNIgRNZnI9Dxc-n4,Bloomfield,36
ChIJkbYAo1jzNIgRxpuolX6I6Dc,Lower Lawrenceville,11
ChIJ7Qm3oEDyNIgRVTUeVHYmEuE,Bloomfield,27
ChIJV9x5pxXyNIgR5rO9GDHxInE,Bloomfield,29
ChIJLQOJMgDyNIgR7G4Ga-wAzg8,Squirrel Hill North,35
ChIJ_06ucs7zNIgRoAhVQhjtRk8,Bloomfield,25
ChIJxW7K-jryNIgRnoy_fq22O7U,North Oakland,30
ChIJD8Ov2h_zNIgRcC-PyQkIVys,North Oakland,38
ChIJ9d9pts7zNIgRT8U7X54jHzw,North Oakland,35
ChIJ68CEWyjzNIgR-x4agZBK-9g,North Oakland,31
ChIJvclwjTryNIgRWg9iEnHdW9w,North Oakland,33
ChIJXVu_qDvyNIgRXfFlNXIhA7A,Bloomfield,24
ChIJh39tef2Gj4AR0rCRdkJDRl4,North Oakland,35
ChIJjcep-TryNIgRNOeLcqAUXp4,North Oakland,34
ChIJf90kgzryNIgRFF3DT6QETbQ,North Oakland,34
ChIJVyjr-TvyNIgR_bA14kixa-0,Bloomfield,23
ChIJ0dtd0E3zNIgRBQOjqm70vHg,North Oakland,33
ChIJv-unHcvzNIgRAes227yxYVI,Shadyside,22
ChIJ4-WUitXzNIgRdsjqRrkobhc,Bloomfield,26
ChIJ-7BxngHzNIgRV0Gtee2KWv8,Bloomfield,12
ChIJcahYNUbyNIgRkh-YFLBrnyk,Bloomfield,10
ChIJiYokHjzyNIgRtnsi_6a_MPk,Bloomfield,17
ChIJb9ShrhHyNIgR5gt3ZnhARJQ,Shadyside,36
ChIJn5pnWB_yNIgR9toCB8xF8gk,Squirrel Hill North,21
ChIJX3bwXRTyNIgRCkbmjnSURuI,Shadyside,25
ChIJiSir5f7xNIgR2sBfHI9HoI8,Squirrel Hill South,37
ChIJjx4DoCbyNIgRa4xgF5MtWX8,North Oakland,54
ChIJhSAtHyTyNIgRDUVWLHZNrmQ,North Oakland,54
ChIJ784vwP7zNIgRbVdQMYJd8MA,North Oakland,12
ChIJFdDEVBjzNIgRzH8p4nOhS7U,North Oakland,17
ChIJgeoC3zPzNIgRQEm9X1cMZTE,North Oakland,14
ChIJd3hRoCbyNIgR_0WAdbtJq5E,North Oakland,54
ChIJM9nnvfXzNIgRswPFCZ3qSQI,North Oakland,12
ChIJayydoqzzNIgRDrjYoB3MSj8,North Oakland,17
ChIJ-7qz81zzNIgRK5B95UI4tk0,North Oakland,54
ChIJ2R-WpibyNIgRtfRjFfy1W7g,North Oakland,55
ChIJ1waLE0zzNIgRpQAnf7nEMdo,Central Oakland,36
ChIJ5VuSdJ7zNIgRmKAAM6I1Rnk,North Oakland,19
ChIJ8T0O8GHzNIgRWEN_D2SXmGo,North Oakland,24
ChIJAcntoSbyNIgRJ_tqs7HosP8,North Oakland,52
ChIJK2J2cOLzNIgRq2PMUDOTQZA,Squirrel Hill North,25
ChIJSchDPYrxNIgRprhtd8o3qXc,Squirrel Hill South,3
ChIJB-1JM6bzNIgRRn6FvCK53_A,North Oakland,59
ChIJHQBwlonxNIgRTOQNz6y-EQ8,Central Oakland,6
ChIJ_x6m61fxNIgROMgm77qPmLA,Central Oakland,21
ChIJm1K7dBzxNIgRFN9OZA3iux4,Central Oakland,23
ChIJyX5l6inyNIgRugEcIEyyBsw,West Oakland,52
ChIJNdDUQ4bxNIgR2pI0nwllfhA,Central Oakland,22
ChIJt1kaeofxNIgRbehlt6g1Vws,Central Oakland,57
ChIJXfP-3KnxNIgRbfS-nbxWS3o,Central Oakland,56
ChIJZ_i-97XxNIgRo3cA0PG1Aqg,Central Oakland,32
ChIJ7-9LLKPxNIgRrpO2_kcg7oY,Central Oakland,23
ChIJsVBcN5PxNIgRqvdo84ea2P8,Greenfield,14
ChIJuVxT6YjxNIgRb0c0GvhIJmU,Greenfield,12
ChIJ-Qt5VYfxNIgRDVs2PgNZEck,West Oakland,64
ChIJv5mJO3TxNIgR2-U7O-0raig,South Side Flats,14
ChIJczcZdHbxNIgR851UGvycI3I,South Side Flats,18
ChIJ3W48jHXxNIgRzYewBlf_lCA,South Side Flats,11
ChIJMZ6aegfxNIgRlG2XPGR2rrY,South Side Flats,18
ChIJFRFbt3bxNIgR0M9SxAMqRzg,South Side Flats,32
ChIJ9-KQqu3xNIgRQjuwNnAw5jE,Greenfield,18
ChIJ9dZ5RtHxNIgRXQx0R-kiUow,Hazelwood,37
ChIJd6RZuLfxNIgRHJT0cLCd33E,Hazelwood,66
ChIJT20LZP_xNIgRfXSxvCBARgI,Squirrel Hill South,37
ChIJwRWXX97xNIgRt99JPMbLo5k,Squirrel Hill South,17
ChIJjUAiVXTuNIgRx_uIV_2oEws,Regent Square,1
ChIJj4vndd7xNIgRMlzZaluZb7Q,Squirrel Hill South,8
ChIJjZks6gbtNIgR3J6z3f6RvZQ,Squirrel Hill North,8
ChIJXRrgsujtNIgRWwtHCcC6TG0,Point Breeze,10
ChIJGW1mL8TtNIgROt0MXN9urkw,Homewood South,39
ChIJneaRNSbtNIgR26Bot7Ibklw,Bakery Square,4
ChIJzWytUezwNIgRofWfXWmeGHs,Carrick,26
ChIJF8gWyH_yNIgR54cOZfU6tXw,Highland Park,6
ChIJxVd0I2ntNIgR0HWArl8uf3s,Highland Park,2
ChIJF2TjvX_yNIgR2rajP8TTCM0,Highland Park,9
ChIJK1hW6YTyNIgRTqozUZYSdHw,Morningside,13
ChIJ3eJzZoTyNIgRFwR6eZysncc,Morningside,9
ChIJg0PTuiLzNIgRZiDiEC0UMCM,Highland Park,9
ChIJzRu8mX_yNIgRIXXPzSRbLMU,Highland Park,10
ChIJl9Idur_tNIgRC4qSnGye370,Highland Park,2
ChIJtT84-2nyNIgRtZthPxJLhFc,Garfield,41
ChIJNS-HZW7yNIgRosFKSl6w4L4,Garfield,39
ChIJzaNUQ2nyNIgRJMi6ohsLTuQ,Garfield,38
ChIJOwT0MkLyNIgRkWGbjvbtOM8,Garfield,42
ChIJY4jK0PfzNIgRWbcs3fOumtI,Bloomfield,35
ChIJib1zoUDyNIgRjs5lzRvptV4,Bloomfield,25
ChIJ17qAEELyNIgRuOAM6Sm8NMs,Garfield,44
ChIJ7-YJEEfyNIgRO0lw1eHhKwM,Bloomfield,34
ChIJGWJzfQTzNIgRpdrWYW3X534,Bloomfield,35
ChIJkSEzAHnzNIgRjZOxPJSd_2w,East Liberty,18
ChIJnetrqnTyNIgR7bt3L49RUTM,Shadyside,35
ChIJ6YWR1gzyNIgRUf4PpzogNBw,Shadyside,23
ChIJ7Z3q5z_yNIgRPjNpFPCbwh8,Bloomfield,10
ChIJSUfZOQ3yNIgRTdo2R99Rk0Y,Shadyside,20
ChIJ4aDOY2ryNIgRcjgyna2jC4s,Bloomfield,14
ChIJ_xbBinPyNIgR5I6bKzW6Xc4,East Liberty,38
ChIJAZBTnjPtNIgRatsp-ZwuOMU,Point Breeze,5
ChIJ_woa_lzzNIgRPKXB29y4pG0,Shadyside,29
ChIJLy7o3xDyNIgR-cB2KQN8G9I,Shadyside,29
ChIJC5P7sxHyNIgR6IoKrVoD-QY,Shadyside,37
ChIJa-FPHBHyNIgRVC5VMamD3vw,Shadyside,30
ChIJK0aB_hDyNIgRZTfaR-B3Ja4,Shadyside,36
ChIJb7SKCr3zNIgRuElCmbxa6BM,Shadyside,37
ChIJwb_5sRHyNIgR3BQjpqxJpxU,Shadyside,35
ChIJn4O9qBHyNIgRc9dX4Aodfz8,Shadyside,36
ChIJ4YqBhhXyNIgR6RZeY4TH8Us,Bloomfield,21
ChIJf1H49KXzNIgR-I5Odjiw84w,Bloomfield,29
ChIJebeZTHLzNIgRyziDyvkn5nQ,Shadyside,29
ChIJp_sbrxHyNIgRJSCP_0F4rSE,Shadyside,35
ChIJQ86AALDzNIgRx3FrHBuHwfQ,Friendship,27
ChIJNfUt57vzNIgR-JxNmrSoOmU,Bloomfield,28
ChIJ5R6OJibzNIgRj7PaeC0EYeE,Shadyside,35
ChIJ9Q-zXVPzNIgRxMq2OYHXA-k,Shadyside,29
ChIJfcIfgRTyNIgRlnaFPGmBSX0,Shadyside,28
ChIJqSoSWE3zNIgRC5ZZW-O1ZRI,Bloomfield,22
ChIJp_sbrxHyNIgRy4d_3ltvJfA,Shadyside,32
ChIJ2YCjHxPyNIgRx9QebVCaHiI,Shadyside,27
ChIJiYlvLxHyNIgR0Zqr20MbZ9Q,Shadyside,29
ChIJV2sb0hDyNIgRUE0eUaaDj6o,Shadyside,26
ChIJZ3KkqdDzNIgRCD7wfJUWqAM,Squirrel Hill North,21
ChIJQ4p9cSzzNIgRUCflMiwYVNQ,Squirrel Hill North,16
ChIJlV4y5yHyNIgRaaYa1zk7vYw,Squirrel Hill North,21
ChIJz3eMvGyKNIgR4IB0zeYZy-M,North Oakland,58
ChIJLxnwlKrzNIgRtueHT9PHFn4,Squirrel Hill North,16
ChIJhQOupibyNIgReBoACHik1Jw,North Oakland,55
ChIJ_ZmkglLyNIgRp90B8NkqLPE,North Oakland,14
ChIJ2Tf5pCnyNIgRyENX85bm4pE,North Oakland,16
ChIJj8asgjHxNIgRF8MtNqy8v8U,Greenfield,18
ChIJffNccebxNIgR9JGg-4HwhFk,Greenfield,18
ChIJLd3F_PzxNIgRDq8xAmHQ18Q,Squirrel Hill South,36
ChIJfWX-mf7xNIgRE9ZKdBmUiFE,Squirrel Hill South,39
ChIJg4iqU1zxNIgRpPPslHG6YxA,Squirrel Hill South,36
ChIJHaUunP7xNIgRxkzGYOAIs3s,Squirrel Hill South,40
ChIJz2YHEADyNIgR3i06eMICpDM,Squirrel Hill South,28
ChIJt4iTxpPxNIgR48jSGmbEhCI,Squirrel Hill South,40
