place_id,neighborhood,value
ChIJDS_4ZA_0NIgRm4werE0wkBo,California-Kirkbride,108
ChIJbXv84wX0NIgRocFxXgoWztk,Central Northside,121
ChIJaZkHl_f1NIgRDo8-Ih0S-68,Central Northside,109
ChIJV-WNXQT0NIgRIlshvd0VSxE,Allegheny-West,118
ChIJjwuJs67zNIgRf-pZyHcOnq0,Central Northside,148
ChIJ-2C3sPfzNIgRpVpqW11Hncs,East Allegheny,133
ChIJR4nVEVbxNIgRbbtd9j788xU,Downtown,237
ChIJ35Bl9PjzNIgRTIhia8PVFEY,Allegheny Center,167
ChIJGRG_kPrzNIgRJRT0EjM9vSI,East Allegheny,137
ChIJp2EIZfDzNIgRq-iQ1IuOs3Y,East Allegheny,131
ChIJZapX9vjzNIgRSu7rbfVfChA,Allegheny Center,162
ChIJ09EneFjxNIgRypwsHoGxIE8,Downtown,280
ChIJTySFk8PzNIgR9oYnssqat_A,Central Northside,136
ChIJl6nD-7HzNIgRcECP9TxqAgI,Allegheny Center,162
ChIJL9Eeh873NIgR2hDDPRrp9eQ,West End,18
ChIJT3VNbcL2NIgRJhpHdjLRND0,Banksville,12
ChIJa_26Rt32NIgR_dkqGwuJicE,Banksville,21
ChIJC2lwoS73NIgRD03ZeaPgShI,Duquesne Heights,29
ChIJi3B3Jdn2NIgRIBfXm2xDBdU,Beechview,45
ChIJwW2TOhvxNIgRjQgQNnvtL1g,Mount Washington,96
ChIJuWIkXnf3NIgRTkga-T2a3OU,Beechview,34
ChIJsZMZQkvxNIgRTT3U6FiRBx4,Mount Washington,87
ChIJNeGZU0rxNIgRF4szdKzPtMI,Mount Washington,92
ChIJs2Jlv1bxNIgR1BjwPx-efhY,Downtown,250
ChIJocY703XxNIgRA9d4UXqFr3Y,South Side Flats,58
ChIJEX3InVbxNIgR7Ks0egVltU0,Downtown,246
ChIJx5zxCnHxNIgRPH6fkywaXag,South Side Flats,92
ChIJp-Y2qlr3NIgRnaDZ8mfO25w,Beechview,30
ChIJVVUibMvzNIgRVZ1yKw3j6MI,Polish Hill,58
ChIJe3ympVbxNIgRq2bl_i37GQA,Downtown,250
ChIJw15qL3TxNIgR1-JYqkctWxo,South Side Flats,58
ChIJ9buawkvyNIgRtuSs0OqiK6I,Lower Lawrenceville,79
ChIJJdPcGIrzNIgR4he_3_nQQxM,Strip District,92
ChIJT1r2IFj3NIgRrJ8iwasf9HE,Beechview,29
ChIJ9xkce932NIgRSiyVq84hrKY,Banksville,25
ChIJP26l3tzzNIgRyle3s1NMfac,Beechview,32
ChIJUTCorzr3NIgRufBFZYqcUZU,Beechview,42
ChIJV5T8ZFj3NIgRwPq8B4iUjYQ,Banksville,13
ChIJ4122GCj3NIgR4EygOp9VQyw,Brookline,44
ChIJ9R6o7hz3NIgRoXHX6b9F_yI,Banksville,15
ChIJscaPKe_xNIgR2QpQkr3O8h8,South Shore,185
ChIJt1-O1Tr3NIgRuWJRAaD-mmc,Brookline,51
ChIJXTWUdlX3NIgRLsxLV-6novE,Beechview,32
ChIJv-X66E3xNIgR4rFcM-iZBxQ,South Shore,181
ChIJsb73t8v3NIgRXRpXRGzmj0U,Banksville,13
ChIJq8aTMiD3NIgRhl34BM3M62I,Beechview,29
ChIJnxGpywT3NIgR8_qyfVf3EM4,Banksville,13
ChIJsf3U_i7xNIgRxQxY564cOZI,Downtown,238
ChIJRVKiym7xNIgRPlAkUzhu6q4,South Side Flats,151
ChIJfQnDg-LzNIgRW_Yv4dBCzIc,Central Oakland,81
ChIJeSJPCur3NIgRG2JwDtlfD3s,Beechview,32
ChIJAUeyl8f3NIgRTwaDXz1HcGs,Brookline,51
ChIJPVFI4jD3NIgR5Jo9EvY00m8,Brookline,50
ChIJ1Vd4DgX3NIgRFCXOWfWXvOw,Banksville,7
ChIJ7UXxRAP0NIgRnHHdP7MB1zY,Chateau,102
ChIJ59EdawP0NIgRRbOjAheTl7U,Chateau,98
ChIJ0wO9t0b0NIgR1aZ3xP_Knco,Marshall-Shadeland,57
ChIJb6K0JAT0NIgRDyAPYKZrgVw,Allegheny-West,121
ChIJk17kWQL0NIgRMkFV0rbi3l0,North Shore,68
ChIJM_ImXwP0NIgRgEEMEoJeE9c,Chateau,110
ChIJBRq4_cX1NIgR_V4__5IL_-Q,Allegheny-West,118
ChIJ2_KpOwL0NIgRlwzYNY03vzI,North Shore,98
ChIJezxPEXzzNIgRRVigvGgRNHQ,North Shore,247
ChIJI2q7FAL0NIgRUoBKaGaPw3A,North Shore,70
ChIJg888LAD0NIgRv6CEQUat1uc,North Shore,128
ChIJkzZRclbxNIgRVOheuNrywO8,Downtown,227
ChIJHaLGRefzNIgRf_UaVEuRZtE,Downtown,227
ChIJK5NZfKLzNIgR6G1JvYJpRLw,Central Northside,147
ChIJU-E_KhvzNIgRfi53Eoj79i8,East Allegheny,133
ChIJ4ws4DVbxNIgRfdiGwIuzWB4,Downtown,228
ChIJ90_BBVbxNIgRMNH1vKBRHmc,Downtown,227
ChIJeXU5zVnxNIgR3UQGKB03IE8,Downtown,259
ChIJ4SPCK1HxNIgR1cH9Pmy4gFI,Downtown,252
ChIJReLa5-_zNIgRj2_pLh7ZKpQ,East Allegheny,106
ChIJsy6SvvfzNIgRTl_IG4-Rel8,Central Northside,142
ChIJxw4q8gP0NIgRe9Z24doswug,Allegheny-West,115
ChIJt1OJZVbxNIgRby17EsOaQl8,Downtown,263
ChIJ9y_Onk3yNIgRg1Zzijr0ge4,Central Lawrenceville,65
ChIJQaqAlUzxNIgRhBrec58hGCM,Mount Washington,91
ChIJYT9vcx30NIgRcIAOt5Q9ngM,Chateau,59
ChIJYwQ1VljxNIgRQTy1kUgaT0E,Downtown,262
ChIJN04B10nxNIgRJp6B4Afp9iI,West Oakland,81
ChIJ2YbrXVjxNIgRhCOLgZcNS4k,Downtown,267
ChIJS5rmxDr3NIgRUf_lWo0F_AU,Brookline,50
ChIJv_rbhDr3NIgRUBkvX7v9iiY,Brookline,51
ChIJr4Wg9TD3NIgR8jYspDUxnz8,Brookline,53
ChIJn-G15zD3NIgRr6pChHoTvvg,Brookline,48
ChIJQ9yvbpX3NIgRc042Rjs7NTk,Brookline,51
ChIJA05yFiD3NIgRgQjy44EeirI,Brookline,51
ChIJuXiLVh_3NIgR1gEbGJ7L4Ps,Beechview,29
ChIJzSivPST3NIgRi2_ge7NCRnM,Beechview,63
ChIJM0mc_tX3NIgRt5RrS_GeFIY,Brookline,51
ChIJXYG7tf73NIgRy-hEEhs2izg,Brookline,51
ChIJofC1eTD3NIgRdfPYN3H9CxI,Brookline,51
ChIJD-2ViDD3NIgRYov1UwTv3rg,Brookline,54
ChIJ3ejbFb_zNIgRbaGSDkFD6Jw,Troy Hill,48
ChIJQXXnMXXzNIgRfNk6_IE9l7g,Troy Hill,38
ChIJ81YsC1LyNIgRRnRiwcOybnk,Central Lawrenceville,61
ChIJm-4CqZzzNIgR7EX7MH7PMTg,Lower Lawrenceville,65
ChIJ41sM7mjzNIgRgxftFyYQwM0,Garfield,73
ChIJnUb3DUzzNIgRZorWWibf-lI,Strip District,77
ChIJw5DqBxHyNIgRFODaRgikWLg,Shadyside,59
ChIJ-6roCurzNIgRjTcSLTAsu9Y,Troy Hill,61
ChIJx_dVIsHzNIgRVOx-Y_MMsvQ,East Allegheny,131
ChIJyYvQIvzzNIgRxWHi73BFA8U,Central Northside,142
ChIJWc78NOLzNIgRcQKCaa4pSCU,Strip District,222
ChIJpc-qDFjxNIgRSxroybLDy4s,Downtown,283
ChIJZddMBN3zNIgRJiPR3CQJf-w,Strip District,98
ChIJ1QoHqfrzNIgRXO5PEaJO_vs,East Allegheny,128
ChIJQcMWoeLzNIgRHz4LnivIm98,Downtown,243
ChIJA8jyCVjxNIgRaTBDzIS-Fvg,Downtown,248
ChIJrwpSeeLzNIgRbnjwmHTf43k,Downtown,240
ChIJaxLB3NzzNIgRc7BqXp2MCR4,Strip District,93
ChIJMUZha1nzNIgRuii2YvwHVEE,Strip District,98
ChIJddZ3-lTxNIgRh9LKI1XZ1kY,Downtown,204
ChIJa7HnU_7zNIgRWgV7Uen_R4M,North Shore,248
ChIJvfMuIwD0NIgR_OKU1NP3Exw,North Shore,160
ChIJw7NZi__zNIgRwcp5kxJAErk,North Shore,218
ChIJRQEFlf7zNIgRZxLBLf1DxmA,North Shore,248
ChIJWWjFalTxNIgRZEwdzBj_toI,Downtown,240
ChIJc7hNuRj1NIgRDSy7LYfY3bI,North Shore,159
ChIJrd_MPQD0NIgRaQcAurQ7VPk,North Shore,140
ChIJp1tqyuvxNIgROzXlw3OKjeA,Downtown,251
ChIJSe13JrnxNIgRyRAtLq7DTp0,Downtown,197
ChIJa_ZAqf_zNIgRKc3voIHKeuM,North Shore,262
ChIJ__6MLQD0NIgR7tpx9fGzBjQ,North Shore,145
ChIJDQkHmlPxNIgR-RYTgv_3ExM,Downtown,224
ChIJLRZdz1bxNIgRliKBNNMrj_E,Downtown,250
ChIJJZ51f1bxNIgRI-T-G9szLw8,Downtown,252
ChIJMZ8fmvfzNIgRqO6p4m40WIw,Central Northside,147
ChIJYWwmlFbxNIgRyjrXVFPWaOU,Downtown,247
ChIJUQ8c81bxNIgRnioofxjN84M,Downtown,252
ChIJD_J0PCrxNIgROmvTjJtU6kE,Downtown,274
ChIJ8-GimDjxNIgRlApecn2qzWA,Downtown,225
ChIJLbPZlVbxNIgRUiWtcqhZS7k,Downtown,248
ChIJG461q1fxNIgRnD8-ZYNshCY,Downtown,269
ChIJfUvFfeLzNIgRJJG8TAOKGd8,Downtown,238
ChIJQ2ym507xNIgR7Un3eltN1Yk,South Oakland,54
ChIJnU-ekU3xNIgR8qOJqcNzFuw,South Shore,183
ChIJ62Pn2n33NIgRrYZKBe7etvk,Mount Washington,82
ChIJjcVAx03xNIgRSaYa9eOR2w4,South Shore,184
ChIJ3VDw7E7xNIgRUv1mm2F058s,South Shore,185
ChIJ28OHmk3xNIgRqZ-UsFZhcyY,South Shore,185
ChIJ2UjFe03xNIgRXZtF7LtXxG4,South Shore,179
ChIJPxm6vcfxNIgRojt2mErBxbY,South Shore,166
ChIJncbtvEzxNIgRtSOWudAmLC4,Mount Washington,87
ChIJ97bZIDvxNIgRldtplCLSAPI,Mount Washington,89
ChIJK0Gg3U3xNIgR91MmvokkqIE,South Shore,187
ChIJm2qSLZTxNIgR5kVTyhhdUug,Downtown,237
ChIJ-VSo4lDxNIgR5Um8EhNVwxI,Downtown,237
ChIJD6AqwRbxNIgRxgnRCFCakqw,Mount Washington,93
ChIJ2RRre0vxNIgRuxbJ4vUVihI,Mount Washington,92
ChIJlSvOwErxNIgR5OhwkzwKGwk,Mount Washington,92
ChIJPy82mmztNIgR7tCHRZTuVnc,Mount Washington,84
ChIJE59EiL_xNIgRXf3_akS30ws,Downtown,246
ChIJfc_Zu1bxNIgROLsTbfhJid0,Downtown,250
ChIJsZZF2lbxNIgRpdJqZpHqous,Downtown,245
ChIJSwaAUkrxNIgROMtq9x4yXuI,Mount Washington,92
ChIJsbm8TObxNIgRwXwg-ldV4Hg,Mount Washington,85
ChIJCUPo71PxNIgRAtgoTa99NOA,Downtown,231
ChIJCUPo71PxNIgR0DN7_HDvu2o,Downtown,224
ChIJBbsKoFbxNIgRfZy_c4Gysew,Downtown,241
ChIJO1CPWlHxNIgRyejwmfRjHB4,Downtown,227
ChIJsW0CpVbxNIgRtyWHiG9FaQU,Downtown,250
ChIJUwZBnrbxNIgRwazqpmcSdnQ,Downtown,241
ChIJj8FQr1bxNIgRMi2X2oGQ9pY,Downtown,250
ChIJXXutnFbxNIgR7UUU81s_VKg,Downtown,251
ChIJgW-aDwvxNIgReJCD03Fe2LI,Downtown,247
ChIJHct_wFbxNIgRaO_h4WbplGk,Downtown,250
ChIJKYXik1bxNIgRbgJ_mtNfjoM,Downtown,248
ChIJofJwzFbxNIgRC57bGvzRYKE,Downtown,238
ChIJN-VSlFbxNIgR40s5WO41qgw,Downtown,252
ChIJlww-71bxNIgRztXdqne3Q6s,Downtown,255
ChIJi3bz5VrxNIgRkavQ5Zu528M,Downtown,259
ChIJ09FFvEzxNIgRcfAZqB7fJQQ,Mount Washington,88
ChIJB5KDhyP3NIgRGNuBqbSdhzA,Beechview,57
ChIJbxpRjNP2NIgRtmdSg1GSF3U,Brookline,40
ChIJr52bIdfwNIgROKgSIYc0acs,Carrick,52
ChIJ9X4UwTr3NIgRvcIUkP2SQ6Q,Brookline,48
ChIJ23afgCP3NIgR7bEKy2YjJJY,Beechview,53
ChIJhxspC8bwNIgROEnnc8MsGvs,Carrick,45
ChIJY4oV6DjxNIgRmaNZyV7lqY8,Allentown,134
ChIJR1p9kFbyNIgRDZ210Bg9nvk,Central Lawrenceville,34
ChIJV79ZZlHyNIgRA3nFHpLybEU,Central Lawrenceville,55
ChIJDxKskE3yNIgRZVoDJ9pI2OE,Central Lawrenceville,64
ChIJ1a5WTUbyNIgRjZqErFhIgMQ,Bloomfield,73
ChIJrYigp_fyNIgRIWG-ie1s0kI,Lawrenceville,21
ChIJFWbwNU_yNIgRFCEuSZi60Es,Bloomfield,83
ChIJTQPE-rTzNIgRoMiCLq3FCBs,Lower Lawrenceville,71
ChIJUWs5GN3zNIgRPZqcckSz0q4,Strip District,95
ChIJBz2zA7XzNIgRZbcBa1o8x_c,Lower Lawrenceville,71
ChIJ8zAcVLPzNIgRhsHbKaVgfnM,Lower Lawrenceville,68
ChIJbTN0U7PzNIgRbg-WVM1LlSU,Lower Lawrenceville,68
ChIJdfRhi03yNIgRi_2aR5XCEWU,Central Lawrenceville,63
ChIJOYR7bvrzNIgRU3s9yPaP8Pg,East Allegheny,134
ChIJ0axKmvfzNIgRdOPqQczWrDs,Central Northside,146
ChIJg3MvBfvzNIgRBRpa3nA5RfY,East Allegheny,184
ChIJ8_mSHvzzNIgRgXf7fVX2PTM,North Shore,253
ChIJ41z6CN3zNIgR_ECPHXVS9Nc,Strip District,98
ChIJrSNnoeLzNIgRXD5Z5bgDx6U,Downtown,244
ChIJv2DWlv7zNIgRTTz0tEVx4Ok,North Shore,251
ChIJs2c8p1nxNIgR86FIs2IuGqc,Downtown,255
ChIJGfCWEFfxNIgRKdud4avVJZk,Downtown,258
ChIJ5a71UVbxNIgR_fJVD9BCDHo,Downtown,265
ChIJa5piL1jxNIgRHlJLyZ0aFUY,Downtown,259
ChIJVVUVbFfxNIgR7c7mF2aGn0Q,Downtown,254
ChIJAQCw1FfxNIgR8gdJyIh-4fM,Downtown,240
ChIJm3zjGljxNIgRNMxVoo4hgQo,Downtown,278
ChIJdVAc-9rzNIgR3tlczynQE98,Downtown,237
ChIJbYs7u27xNIgR9Bj9SpqyYwY,Downtown,227
ChIJZ0VnWfTxNIgRzwmWRLP4sy4,Downtown,275
ChIJ47M0F1jxNIgRBCssOalS4ck,Downtown,275
ChIJSVQ4lcfxNIgRO6wvcKZLAQI,Downtown,267
ChIJLe2gNljxNIgRyIt5PgU3xtk,Downtown,257
ChIJ1QL2R1bxNIgR3zR9Fz4lorg,Downtown,230
ChIJue7G_FfxNIgR3YWf7Tdt2aY,Downtown,242
ChIJoaEBy7LxNIgRW6AehuboyTg,Downtown,267
ChIJG6g-slDxNIgR2g4PV1mDO8I,Downtown,237
ChIJMwNf-k3xNIgRKJcrlH1YVqQ,Downtown,241
ChIJr_gB_1DxNIgRCr0YYUObyHE,Downtown,236
ChIJq6rq5FnxNIgRP_IpsWEb7ac,Downtown,242
ChIJbWn2y1DxNIgR1w7n95vU5j0,Downtown,237
ChIJbUeFn1DxNIgRNsB4lETrxQ0,Downtown,249
ChIJ_WoVTvLxNIgRl_aBTlrZpHs,Downtown,227
ChIJwz1LyVbxNIgRV4OR92L-fKw,Downtown,238
ChIJZ3vhFKPxNIgRSUQGsPjO7_Q,Downtown,237
ChIJgVzfkprxNIgRPyQGLv0LJ78,Downtown,237
ChIJr5_PwVnxNIgRW6wYCkEkfv0,Downtown,247
ChIJ3WOGtlnxNIgRDcTKCXS0GOw,Downtown,259
ChIJo5IOulDxNIgRCjQSyJviOTM,Downtown,238
ChIJHeyUo-LzNIgR1FphGl0EYGo,Downtown,244
ChIJaaV-6NzzNIgRronh-wKb0Kw,Strip District,95
ChIJkTpzVVjxNIgRLn0Nwuexkxw,Uptown,224
ChIJn6HNhN3zNIgRzL37A1e_8Pg,Strip District,101
ChIJMYlAHN3zNIgRSTPlPwIwyzg,Strip District,93
ChIJSZ0k9kXxNIgRgxF44U8rvBM,South Side Slopes,173
ChIJbUeFn1DxNIgRb6LHmi3H2zE,Downtown,250
ChIJIQEzxDjxNIgRJm65XjBjXsA,Allentown,138
ChIJTV6FuofxNIgRnxnw7JRHYCs,Downtown,238
ChIJuxAlNFHxNIgR4kI1EDAKexg,Downtown,237
ChIJi43421bxNIgRNnTCIKWZxi8,Downtown,251
ChIJ73N-3lDxNIgRUzUPEX1E2-A,Downtown,237
ChIJJ1RKHFHxNIgRpVIPCvW5ZIs,Downtown,238
