place_id,name,latitude,longitude,formatted_address,street_number,route,neighborhood,postal_code,curbside_pickup,price_level,rating,user_ratings_total,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close
ChIJJZ5vVPX2NIgRSxdM1T5midk,Arby's,40.42849429999999,-80.05319829999999,"2251 Noblestown Rd, Crafton, PA 15205, USA",2251,Noblestown Road,Westwood,15205,,1,4.2,505,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
ChIJlRGtqor2NIgROYUiwpdjbGg,Wendy's,40.4290379,-80.0532206,"2237 Noblestown Rd, Pittsburgh, PA 15205, USA",2237,Noblestown Road,Westwood,15205,False,1,3.4,845,0630,0000,0630,0000,0630,0000,0630,0000,0630,0000,0630,0000,0630,0000
ChIJ_8x4WV72NIgRdHZtt9X8GVU,Brighton Hot Dog Shoppe,40.426838,-80.057265,"2401 Noblestown Rd, Pittsburgh, PA 15205, USA",2401,Noblestown Road,Oakwood,15205,,1,4.4,835,0730,2000,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100,0730,2100
ChIJt_Ur43L3NIgRacyHl8fofXc,Wing SZN - Crafton Heights,40.4382125,-80.05603669999999,"1511 Stratmore St, Pittsburgh, PA 15205, USA",1511,Stratmore Street,Crafton Heights,15205,,,3.2,5,1200,2000,1000,2140,1000,2140,1000,2140,1000,2140,1000,2140,1000,2140
ChIJu3SaTPX2NIgR74g_OkXoxZ0,China Buffet King,40.42848499999999,-80.052526,"2249 Noblestown Rd, Pittsburgh, PA 15205, USA",2249,Noblestown Road,Westwood,15205,False,1,3.8,1533,1130,2100,1130,2100,,,1130,2100,1130,2100,1130,2130,1130,2130
ChIJD2S7oJf2NIgRlyHw08SanEo,Tramp's,40.435685,-80.03402,"412 Greentree Rd, Pittsburgh, PA 15220, USA",412,Greentree Road,West End,15220,False,1,4.2,316,1200,0200,1130,0200,1130,0200,1130,0200,1130,0200,1130,0200,1100,0200
ChIJOQEpVtn2NIgRYSWgTW5Jheg,El Paisano | Mexican Restaurant,40.41111110000001,-80.02499999999999,"1542 Beechview Ave, Pittsburgh, PA 15216, USA",1542,Beechview Avenue,Beechview,15216,,1,4.2,236,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100
ChIJ07YvcLH2NIgRYuOrEBUNga0,Bigham Tavern,40.43243820000001,-80.0151844,"321 Bigham St, Pittsburgh, PA 15211, USA",321,Bigham Street,Mount Washington,15211,True,2,4.5,1490,1000,0200,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200,1000,0200
ChIJO_NPgjr3NIgRsh37RlCnxCg,802 Bean Company,40.39351,-80.020089,"802 Brookline Blvd, Pittsburgh, PA 15226, USA",802,Brookline Boulevard,Brookline,15226,False,,4.8,166,,,0700,1600,0700,1600,0700,1600,0700,1600,0700,1600,0800,1500
ChIJS2LvJBXxNIgRrTEEM5y0G4g,Corner Cafe,40.42193469999999,-79.9840862,"2500 S 18th St, Pittsburgh, PA 15203, USA",2500,South 18th Street,South Side Slopes,15203,False,,4.2,45,1600,0200,1600,0200,1600,0200,1600,0200,1600,0200,1600,0200,1600,0200
ChIJj3vuFwX3NIgRb1BDekR9gfQ,Starbucks,40.3993608,-80.043865,"3145 Banksville Road, Banksville Center Dr, Pittsburgh, PA 15216, USA",,Banksville Center Drive,Banksville,15216,,2,4.5,511,0430,2100,0430,2130,0430,2130,0430,2130,0430,2130,0430,2130,0430,2100
