place_id,name,business_status,formatted_address,latitude,longitude,price_level,rating,user_ratings_total
ChIJK0F7yA_1NIgRXBYlp79oNw4,Vibe Bellevue,OPERATIONAL,"6 N Balph Ave, Bellevue, PA 15202",40.4957972,-80.0553077,,4.5,109
ChIJNatzAP70NIgR8Kee_Ham_Iw,R & B's Pizza Place,OPERATIONAL,"421 Lincoln Ave, Bellevue, PA 15202",40.4942306,-80.0534242,1,4.2,294
ChIJL1CvLob1NIgRHZcSd_NIo5o,Dragon Town,OPERATIONAL,"503 Lincoln Ave, Bellevue, PA 15202",40.4955795,-80.0557958,1,3.9,67
ChIJj7ySlgP1NIgRkXAxUfRfPbA,Grille 565,OPERATIONAL,"565 Lincoln Ave, Pittsburgh, PA 15202",40.4964169,-80.05782160000001,2,4.4,448
ChIJsapo8Kr1NIgRajOhGHUMjAE,Arby's,OPERATIONAL,"4260 Ohio River Blvd, Bellevue, PA 15202",40.487646,-80.0556187,1,4.1,835
ChIJKbYfIzf1NIgR4Vy-gDHRViM,Maxwell's Pizza,OPERATIONAL,"600 Lincoln Ave, Bellevue, PA 15202",40.49703909999999,-80.0582635,1,4.3,231
ChIJB8AjsbL1NIgRpp7gRHBMrkE,Everfresh,OPERATIONAL,"1 Sexton Rd, McKees Rocks, PA 15136",40.4781927,-80.053815,,5,3
ChIJzwM6c_70NIgRNpZ20ll0FSo,Papa Johns Pizza,OPERATIONAL,"357 Lincoln Ave, Bellevue, PA 15202",40.4936554,-80.05246679999999,1,3.2,150
ChIJeRApgwP1NIgRr7ab5RzL2gc,China Sea Chinese Restaurant,OPERATIONAL,"610 Lincoln Ave, Bellevue, PA 15202",40.4972056,-80.0583585,1,4.1,262
ChIJW-KbQ6r1NIgR-K9s9bB-WHI,T-Plates,OPERATIONAL,"Bellevue, PA 15202",40.4881021,-80.0571849,,0,0
ChIJNcn3HWj0NIgRSw7-siX98oE,Wiseguys Pizza,OPERATIONAL,"1223 Woods Run Ave, Pittsburgh, PA 15212",40.47638310000001,-80.0311104,1,4,256
ChIJ0wO9t0b0NIgR1aZ3xP_Knco,Don's Diner,OPERATIONAL,"1729 Eckert St, Pittsburgh, PA 15212",40.47170610000001,-80.0373187,1,4.6,267
ChIJDYClFV71NIgRhvMb_CtJ2L4,Ida's Sandwich Shop,OPERATIONAL,"3921 Perrysville Ave, Pittsburgh, PA 15214",40.4903388,-80.0188202,,4.9,43
ChIJW9nIGEr1NIgRrLK4g4KmGvg,Severina Restaurant and Bar,OPERATIONAL,"1330 Center Ave, Pittsburgh, PA 15229",40.5182464,-80.04454190000001,2,4.8,157
ChIJz4A16HytNYgRZFAllacgcyU,BullDawg's Burgers,OPERATIONAL,"5336 Perry Hwy, Pittsburgh, PA 15229",40.5115423,-80.030507,,4.4,121
ChIJ-bbQnwj1NIgRi3JDFXDrjxY,Eat'n Park,OPERATIONAL,"1002 Ohio River Blvd, Pittsburgh, PA 15202",40.49409139999999,-80.06498619999999,1,4,1841
ChIJJ8elG8j0NIgR-idWpPNqJVg,DiPietro's,OPERATIONAL,"412 Perry Hwy, Pittsburgh, PA 15229",40.5184339,-80.0316572,2,4.5,424
ChIJc3XI4bf0NIgRWFiQNvHOPNo,Royal Myanmar Restaurant,OPERATIONAL,"644 Center Ave, Pittsburgh, PA 15229",40.5185733,-80.0310441,1,4.7,194
ChIJWTVeMQL1NIgRKTt3YYwVdZ8,Pizza Station,OPERATIONAL,"616 Lincoln Ave, Bellevue, PA 15202",40.4973133,-80.0587752,2,3.9,202
ChIJr6OpVEHzNIgRDsgj6DRJWf0,Silvioni's Restaurant,OPERATIONAL,"2125 Babcock Blvd, Pittsburgh, PA 15209",40.50931689999999,-79.9913658,2,4.4,550
ChIJxdrggVDzNIgR2LCBP8MzaCw,Rico's Restaurant,OPERATIONAL,"1 Rico Ln, Pittsburgh, PA 15237",40.514902,-80.002355,3,4.4,600
